0,1,2
0.021,0.005,-0.8279999999999998
-0.015,0.023,-0.798
0.007000000000000001,0.011,-0.787
-0.02,0.03,-0.795
0.004,0.047,-0.8329999999999999
-0.036,0.014000000000000002,-0.786
0.039,0.019,-0.796
0.061,-0.004,-0.782
-0.0,0.014000000000000002,-0.806
0.017,0.034,-0.7889999999999998
0.054000000000000006,0.014000000000000002,-0.8019999999999998
0.013,0.066,-0.8329999999999999
0.014000000000000002,0.034,-0.7889999999999998
-0.034,-0.003,-0.805
0.011,0.016,-0.808
0.028000000000000004,0.019,-0.814
-0.011,0.05500000000000001,-0.799
-0.001,0.032,-0.794
0.022,0.019,-0.7809999999999998
0.013,0.036,-0.8199999999999998
0.048,0.021,-0.806
0.058,0.033,-0.79
0.001,0.045,-0.794
0.019,0.006,-0.795
-0.028000000000000004,0.044,-0.8109999999999998
0.031,-0.001,-0.792
0.002,0.042,-0.8099999999999998
0.012,0.03,-0.8119999999999998
-0.003,0.014000000000000002,-0.821
-0.001,-0.001,-0.8109999999999998
0.03,0.07299999999999998,-0.84
-0.022,0.066,-0.799
0.015,0.042,-0.795
0.024,0.067,-0.783
0.023,0.028000000000000004,-0.8
-0.012,0.033,-0.786
0.01,0.051,-0.822
0.011,0.005,-0.824
0.025,0.063,-0.813
0.005,0.038,-0.8099999999999998
-0.033,-0.016,-0.8369999999999999
-0.008,0.061,-0.788
-0.008,0.038,-0.786
0.019,0.049,-0.788
-0.029,0.03,-0.791
-0.008,-0.003,-0.794
-0.001,0.032,-0.808
-0.011,0.028000000000000004,-0.791
0.001,0.045,-0.7929999999999998
0.057,0.034,-0.8189999999999998
0.027000000000000003,0.011,-0.8019999999999998
0.049,0.062,-0.8089999999999998
0.021,0.039,-0.7929999999999998
0.024,0.035,-0.8009999999999998
0.006,0.032,-0.814
-0.017,0.03,-0.786
0.047,0.03,-0.8189999999999998
-0.017,0.014000000000000002,-0.799
0.036,0.047,-0.8009999999999998
0.028000000000000004,0.014000000000000002,-0.8119999999999998
0.05,0.002,-0.772
0.007000000000000001,0.031,-0.8119999999999998
0.041,0.049,-0.8279999999999998
-0.031,0.011,-0.838
0.02,-0.002,-0.8039999999999998
0.023,0.021,-0.7889999999999998
0.023,0.019,-0.79
0.04,0.028000000000000004,-0.8289999999999998
-0.011,0.048,-0.7969999999999998
-0.005,0.026,-0.794
-0.032,0.047,-0.79
0.006,0.049,-0.8199999999999998
-0.008999999999999998,0.026,-0.8109999999999998
-0.029,0.052,-0.79
0.011,0.044,-0.8
0.0,0.045,-0.791
0.027000000000000003,0.023,-0.798
-0.034,-0.0,-0.779
-0.002,0.062,-0.7929999999999998
-0.039,0.027000000000000003,-0.79
-0.028000000000000004,0.001,-0.8099999999999998
-0.008999999999999998,0.034,-0.792
0.021,0.07499999999999998,-0.821
0.048,0.068,-0.805
-0.028000000000000004,-0.003,-0.8039999999999998
-0.01,0.058,-0.8019999999999998
-0.022,0.049,-0.78
0.022,0.034,-0.815
0.003,-0.004,-0.8
0.008999999999999998,0.001,-0.783
-0.006,0.052,-0.798
-0.04,-0.011,-0.813
0.017,0.008,-0.772
0.036,-0.011,-0.8199999999999998
